Company_Name,Talk_E,Talk_S,Talk_G,Walk_E,Walk_S,Walk_G,Gap_E,Gap_S,Gap_G,Final_E,Final_S,Final_G,Final_ESG_Score,Confidence_Level,Risk_Flag
TATA MOTORS PASSENGER VEHICL,0.1,0.1,0.1,0.4497,0.0,0.9608,-0.3497,0.1,-0.8608,0.30982,0.015000000000000006,0.61648,28.509079999999997,High,High Volatility | Low Disclosure
GODFREY PHILLIPS INDIA LTD,0.804,0.6778,0.594,0.0,0.0,1.0,0.804,0.6778,-0.406,0.12060000000000004,0.10166999999999998,0.8376,28.39817,High,Greenwashing Risk | High Volatility
AWL AGRI BUSINESS LTD,0.7490000000000001,0.4172,0.7464,0.0,0.0,1.0,0.7490000000000001,0.4172,-0.25360000000000005,0.11235,0.06258000000000002,0.89856,28.34738,High,Greenwashing Risk | High Volatility
COCHIN SHIPYARD LTD,0.7945,0.319,0.4537,0.0,0.1144,1.0,0.7945,0.2046,-0.5463,0.11917500000000003,0.14509000000000002,0.78148,28.27849,High,Greenwashing Risk | High Volatility
BAYER CROPSCIENCE LTD,0.8251999999999999,0.5226,0.616,0.0,0.0,1.0,0.8251999999999999,0.5226,-0.384,0.12378,0.07839000000000002,0.8464,28.03641,Medium,Greenwashing Risk | High Volatility
POLYCAB INDIA LTD,0.1,0.1,0.1,1.0,0.0,0.0,-0.9,0.1,0.1,0.64,0.015000000000000006,0.015000000000000006,27.999999999999996,High,High Volatility | Low Disclosure
ABB INDIA LTD,0.1,0.1,0.1,1.0,0.0,0.0,-0.9,0.1,0.1,0.64,0.015000000000000006,0.015000000000000006,27.999999999999996,High,High Volatility | Low Disclosure
INDIAN RAILWAY FINANCE CORP,0.1,0.1,0.1,0.351,0.8748,0.0,-0.251,-0.7748,0.1,0.2506,0.56488,0.015000000000000006,27.912679999999995,High,High Volatility | Low Disclosure
HINDUSTAN PETROLEUM CORP,0.1,0.1,0.1,0.2981,0.1071,1.0,-0.19809999999999997,-0.007099999999999995,-0.9,0.21886,0.10426,0.64,27.861900000000002,High,High Volatility | Low Disclosure
KOTAK MAHINDRA BANK LTD,0.1,0.1,0.1,0.0,0.5844,1.0,0.1,-0.48440000000000005,-0.9,0.015000000000000006,0.39064,0.64,27.769840000000002,High,High Volatility | Low Disclosure
FORCE MOTORS LTD,0.7801,0.5106,0.5956,0.0,0.009,1.0,0.7801,0.5016,-0.4044,0.11701500000000004,0.08424000000000001,0.83824,27.7161,High,Greenwashing Risk | High Volatility
TORRENT PHARMACEUTICALS LTD,0.5018,0.48700000000000004,0.7970999999999999,0.0,0.0014,1.0,0.5018,0.48560000000000003,-0.20290000000000008,0.07527,0.07424000000000003,0.91884,27.58432,High,Greenwashing Risk | High Volatility
PNB HOUSING FINANCE LTD,0.7151000000000001,0.5504,0.5948,0.0,0.0005,1.0,0.7151000000000001,0.5499,-0.4052,0.107265,0.082985,0.83792,27.240195,High,Greenwashing Risk | High Volatility
KAJARIA CERAMICS LTD,0.7491,0.4824,0.5932999999999999,0.0,0.0,1.0,0.7491,0.4824,-0.40670000000000006,0.11236500000000002,0.07236000000000002,0.83732,27.12022,High,Greenwashing Risk | High Volatility
DOMS INDUSTRIES LTD,0.7278,0.5507,0.564,0.0,0.0,1.0,0.7278,0.5507,-0.43600000000000005,0.10916999999999999,0.08260500000000001,0.8256,27.004235,High,Greenwashing Risk | High Volatility
GRASIM INDUSTRIES LTD,0.1,0.1,0.1,0.6743,0.3123,0.0,-0.5743,-0.21230000000000002,0.1,0.44458,0.22738000000000003,0.015000000000000006,26.985299999999995,High,Low Disclosure
MARUTI SUZUKI INDIA LTD,0.1,0.1,0.1,0.2209,1.0,0.0081,-0.12090000000000001,-0.9,0.09190000000000001,0.17254,0.64,0.02188500000000001,26.978885,High,High Volatility | Low Disclosure
PVR INOX LTD,0.6678000000000001,0.6496999999999999,0.4989,0.0,0.0,1.0,0.6678000000000001,0.6496999999999999,-0.5011,0.10017000000000001,0.09745500000000001,0.79956,26.417585,High,Greenwashing Risk | High Volatility
TBO TEK LTD,0.6543000000000001,0.6939,0.6925,0.0,0.0,0.8557,0.6543000000000001,0.6939,-0.1632,0.09814500000000004,0.10408499999999998,0.79042,26.305515000000003,High,Greenwashing Risk | High Volatility
INDIAN ENERGY EXCHANGE LTD,0.44270000000000004,0.37670000000000003,0.7724,0.0,0.0,0.9788,0.44270000000000004,0.37670000000000003,-0.20640000000000003,0.066405,0.05650500000000003,0.89624,26.079475000000002,High,High Volatility
KARUR VYSYA BANK LTD,0.1,0.1,0.1,0.0,0.4904,1.0,0.1,-0.39039999999999997,-0.9,0.015000000000000006,0.33424,0.64,26.021440000000002,High,High Volatility | Low Disclosure
KFIN TECHNOLOGIES LTD,0.7684000000000001,0.49310000000000004,0.5902000000000001,0.0,0.0,0.9115,0.7684000000000001,0.49310000000000004,-0.3212999999999999,0.11526000000000006,0.07396500000000002,0.78298,25.938855000000007,High,Greenwashing Risk | High Volatility
HFCL LTD,0.1,0.1,0.1,0.6764,0.0,0.3202,-0.5764,0.1,-0.22019999999999998,0.44584,0.015000000000000006,0.23212,25.88496,High,Low Disclosure
ZEN TECHNOLOGIES LTD,0.1,0.1,0.1,0.0,0.8436,0.55,0.1,-0.7436,-0.45000000000000007,0.015000000000000006,0.54616,0.37,25.840960000000003,High,High Volatility | Low Disclosure
MUTHOOT FINANCE LTD,0.1,0.1,0.1,0.3215,0.0,1.0,-0.2215,0.1,-0.9,0.2329,0.015000000000000006,0.64,25.7126,High,High Volatility | Low Disclosure
EIH LTD,0.5811999999999999,0.4264,0.5687,0.0,0.0,1.0,0.5811999999999999,0.4264,-0.4313,0.08718000000000001,0.06396000000000002,0.82748,25.505679999999998,High,Greenwashing Risk | High Volatility
JSW ENERGY LTD,0.7994,0.5092,0.7689,0.0,0.0092,0.7348,0.7994,0.5,0.03410000000000002,0.11991000000000004,0.0842,0.739915,25.384115,High,Greenwashing Risk | High Volatility
NHPC LTD,0.1,0.1,0.1,0.3146,0.5716,0.1566,-0.21459999999999999,-0.4716,-0.056599999999999984,0.22876,0.38295999999999997,0.13396,25.286199999999997,High,Low Disclosure
RELIANCE POWER LTD,0.7329000000000001,0.4677,0.42710000000000004,0.0,0.0,1.0,0.7329000000000001,0.4677,-0.5729,0.109935,0.07015500000000002,0.77084,25.282945,High,Greenwashing Risk | High Volatility
CHOICE INTERNATIONAL LTD,0.35259999999999997,0.2774,0.7648,0.0,0.0,0.9979,0.35259999999999997,0.2774,-0.23309999999999997,0.052890000000000006,0.04161000000000001,0.90466,25.23357,High,High Volatility
PRAJ INDUSTRIES LTD,0.1,0.1,0.1,0.354,0.0,0.9081,-0.254,0.1,-0.8081,0.25239999999999996,0.015000000000000006,0.58486,25.1921,High,High Volatility | Low Disclosure
MOTILAL OSWAL FINANCIAL SERV,0.1,0.1,0.1,0.2078,0.0913,1.0,-0.1078,0.0087,-0.9,0.16468,0.092605,0.64,25.116675,High,High Volatility | Low Disclosure
NESTLE INDIA LTD,0.1,0.1,0.1,0.2931,0.0048,1.0,-0.19310000000000002,0.0952,-0.9,0.21586000000000002,0.019080000000000007,0.64,25.08932,High,High Volatility | Low Disclosure
CREDITACCESS GRAMEEN LTD,0.3404,0.386,0.772,0.0,0.6123,0.1771,0.3404,-0.22629999999999995,0.5949,0.05106000000000001,0.52178,0.26633500000000004,25.080195,High,Greenwashing Risk
CAN FIN HOMES LTD,0.26289999999999997,0.4592,0.7202,0.0,0.0,1.0,0.26289999999999997,0.4592,-0.27980000000000005,0.039435,0.06888000000000001,0.88808,25.07242,High,High Volatility
ITC LTD,0.1,0.1,0.1,0.7303,0.0,0.1579,-0.6303,0.1,-0.05790000000000001,0.47817999999999994,0.015000000000000006,0.13474000000000003,24.873420000000003,High,Low Disclosure
RELIANCE INFRASTRUCTURE LTD,0.6651,0.4678,0.4228,0.0,0.0,1.0,0.6651,0.4678,-0.5771999999999999,0.09976499999999999,0.07017000000000001,0.76912,24.792930000000002,High,Greenwashing Risk | High Volatility
SUN PHARMACEUTICAL INDUS,0.1,0.1,0.1,0.2492,0.0361,1.0,-0.1492,0.06390000000000001,-0.9,0.18952,0.045685,0.64,24.755115,High,High Volatility | Low Disclosure
ATUL LTD,0.1,0.1,0.1,0.0086,0.3968,1.0,0.09140000000000001,-0.29679999999999995,-0.9,0.022310000000000003,0.27808,0.64,24.60212,High,High Volatility | Low Disclosure
MANAPPURAM FINANCE LTD,0.0786,0.4752,0.7023999999999999,0.0,0.0266,1.0,0.0786,0.4486,-0.2976000000000001,0.011790000000000002,0.09389000000000003,0.88096,24.453349999999997,High,High Volatility
JK CEMENT LTD,0.1,0.1,0.1,0.0,1.0,0.2619,0.1,-0.9,-0.16190000000000002,0.015000000000000006,0.64,0.19714,24.4285,High,High Volatility | Low Disclosure
OLECTRA GREENTECH LTD,0.1,0.1,0.1,0.2694,0.0,1.0,-0.16939999999999997,0.1,-0.9,0.20163999999999999,0.015000000000000006,0.64,24.337160000000004,High,High Volatility | Low Disclosure
DALMIA BHARAT LTD,0.1,0.1,0.1,0.0201,0.3546,1.0,0.0799,-0.25460000000000005,-0.9,0.03208500000000001,0.25276,0.64,24.2473,High,High Volatility | Low Disclosure
BRITANNIA INDUSTRIES LTD,0.1,0.1,0.1,0.1982,0.5853,0.2466,-0.09819999999999998,-0.48530000000000006,-0.1466,0.15892,0.39117999999999997,0.18796000000000002,23.81806,High,Low Disclosure
HINDUSTAN AERONAUTICS LTD,0.1,0.1,0.1,0.2394,0.0058,1.0,-0.1394,0.0942,-0.9,0.18364,0.019930000000000003,0.64,23.69799,High,High Volatility | Low Disclosure
KEI INDUSTRIES LTD,0.1,0.1,0.1,0.3091,0.3133,0.3345,-0.20909999999999998,-0.21330000000000002,-0.23450000000000001,0.22546,0.22798000000000002,0.24070000000000003,23.00512,High,Low Disclosure
JUPITER WAGONS LTD,0.7176,0.6382,0.7132999999999999,0.0,0.0,0.6267,0.7176,0.6382,0.0865999999999999,0.10764000000000001,0.09573000000000001,0.6396900000000001,22.69604,High,Greenwashing Risk | High Volatility
EXIDE INDUSTRIES LTD,0.5422,0.5124,0.8769,0.0,0.5485,0.0,0.5422,-0.03610000000000002,0.8769,0.08133000000000001,0.53406,0.131535,22.422755000000002,Medium,Greenwashing Risk | High Volatility
BIOCON LTD,0.1,0.1,0.1,0.0435,1.0,0.0409,0.05650000000000001,-0.9,0.05910000000000001,0.05197500000000001,0.64,0.04976500000000001,22.371025,High,High Volatility | Low Disclosure
BATA INDIA LTD,0.1,0.1,0.1,0.2,0.046,0.8949,-0.1,0.054000000000000006,-0.7949,0.16,0.05410000000000001,0.57694,22.1406,High,High Volatility | Low Disclosure
WOCKHARDT LTD,0.5871999999999999,0.5409,0.5959,0.0,0.0,0.6312,0.5871999999999999,0.5409,-0.0353,0.08807999999999999,0.08113500000000001,0.6170800000000001,21.817705,High,Greenwashing Risk
DR LAL PATHLABS LTD,0.6767,0.5522,0.5854,0.0,0.0,0.5947,0.6767,0.5522,-0.009299999999999975,0.10150499999999998,0.08283000000000001,0.5909800000000001,21.80845,Medium,Greenwashing Risk
HIMADRI SPECIALITY CHEMICAL,0.1,0.1,0.1,0.4263,0.0,0.4848,-0.32630000000000003,0.1,-0.38480000000000003,0.29578000000000004,0.015000000000000006,0.33087999999999995,21.751320000000003,High,Low Disclosure
CIPLA LTD,0.1,0.1,0.1,0.0,0.2565,1.0,0.1,-0.1565,-0.9,0.015000000000000006,0.19390000000000002,0.64,21.6709,High,High Volatility | Low Disclosure
NUVAMA WEALTH MANAGEMENT LTD,0.3865,0.30870000000000003,0.3663,0.0,0.0,1.0,0.3865,0.30870000000000003,-0.6336999999999999,0.05797500000000001,0.04630500000000001,0.74652,21.649355,High,High Volatility
SUN TV NETWORK LTD,0.28809999999999997,0.26649999999999996,0.7264,0.0,0.0,0.8155,0.28809999999999997,0.26649999999999996,-0.08909999999999996,0.043215,0.039975,0.77986,21.637185,Medium,High Volatility
BHARTI HEXACOM LTD,0.7242000000000001,0.6127,0.7628,0.0,0.0,0.5612,0.7242000000000001,0.6127,0.2016,0.10863000000000003,0.09190500000000001,0.5914400000000001,21.414775000000002,Medium,Greenwashing Risk | High Volatility
SAGILITY LTD,0.1,0.1,0.1,0.0,0.3221,0.8934,0.1,-0.2221,-0.7934,0.015000000000000006,0.23326,0.57604,21.292060000000003,High,High Volatility | Low Disclosure
HCL TECHNOLOGIES LTD,0.1,0.1,0.1,0.4198,0.3662,0.0,-0.3198,-0.2662,0.1,0.29188000000000003,0.25972,0.015000000000000006,21.269040000000004,High,Low Disclosure
VISHAL MEGA MART LTD,0.1,0.1,0.1,0.0,0.213,1.0,0.1,-0.11299999999999999,-0.9,0.015000000000000006,0.1678,0.64,20.861800000000002,High,High Volatility | Low Disclosure
KPIT TECHNOLOGIES LTD,0.7367,0.5072,0.7664,0.0,0.1687,0.3419,0.7367,0.3385,0.4245,0.11050499999999999,0.21947499999999998,0.405575,20.805320000000002,Medium,Greenwashing Risk | High Volatility
GUJARAT FLUOROCHEMICALS LTD,0.1,0.1,0.1,0.0,0.4776,0.5965,0.1,-0.37760000000000005,-0.49650000000000005,0.015000000000000006,0.32655999999999996,0.39790000000000003,20.73086,High,Low Disclosure
JSW INFRASTRUCTURE LTD,0.8259000000000001,0.5660000000000001,0.583,0.2792,0.0,0.0,0.5467000000000001,0.5660000000000001,0.583,0.361205,0.08490000000000003,0.08745,20.711170000000003,Medium,Greenwashing Risk
MMTC LTD,0.0,0.0,0.5692,0.0385,0.0,1.0,-0.0385,0.0,-0.43079999999999996,0.0231,0.0,0.82768,20.7084,High,High Volatility
IFCI LTD,0.5919,0.39630000000000004,0.5887,0.0,0.0005,0.5951,0.5919,0.39580000000000004,-0.006399999999999961,0.088785,0.05987000000000001,0.5925400000000001,20.57601,High,Greenwashing Risk
HDFC LIFE INSURANCE CO LTD,0.6948000000000001,0.627,0.7787000000000001,0.0,0.0,0.4334,0.6948000000000001,0.627,0.34530000000000005,0.10422000000000003,0.09405000000000002,0.48519500000000004,19.631105000000005,High,Greenwashing Risk
EMCURE PHARMACEUTICALS LTD,0.1492,0.24,0.682,0.0,0.0,0.6984,0.1492,0.24,-0.01639999999999997,0.022380000000000004,0.036000000000000004,0.69184,19.396720000000002,High,No Risk
POONAWALLA FINCORP LTD,0.1,0.1,0.1,0.0,0.1287,1.0,0.1,-0.028700000000000003,-0.9,0.015000000000000006,0.11722,0.64,19.29382,High,High Volatility | Low Disclosure
SCHNEIDER ELECTRIC INFRASTRU,0.1,0.1,0.1,0.5771,0.0,0.0616,-0.47709999999999997,0.1,0.038400000000000004,0.38625999999999994,0.015000000000000006,0.06736,19.14444,High,Low Disclosure
ALKYL AMINES CHEMICALS LTD,0.1,0.1,0.1,0.0,0.5261,0.4256,0.1,-0.42610000000000003,-0.3256,0.015000000000000006,0.35566,0.29535999999999996,19.06946,High,Low Disclosure
KAYNES TECHNOLOGY INDIA LTD,0.6881,0.4029,0.5018,0.0,0.0,0.4967,0.6881,0.4029,0.005100000000000049,0.10321500000000003,0.060435,0.49746499999999994,18.851570000000002,High,Greenwashing Risk
GRAVITA INDIA LTD,0.7779,0.4582,0.7472,0.0,0.0,0.4471,0.7779,0.4582,0.3001,0.11668500000000004,0.06873,0.49211499999999997,18.567645,High,Greenwashing Risk | High Volatility
VARDHMAN TEXTILES LTD,0.8031999999999999,0.4824,0.4656,0.0,0.0,0.4785,0.8031999999999999,0.4824,-0.012899999999999967,0.12048000000000003,0.07236000000000002,0.47334,18.37778,High,Greenwashing Risk | High Volatility
ASTER DM HEALTHCARE LTD,0.1,0.1,0.1,0.3911,0.0,0.3202,-0.2911,0.1,-0.22019999999999998,0.27466,0.015000000000000006,0.23212,18.35304,Medium,Low Disclosure
SIEMENS ENERGY INDIA LTD,0.1,0.1,0.1,0.0,0.5571,0.3343,0.1,-0.45710000000000006,-0.23429999999999998,0.015000000000000006,0.37426000000000004,0.24058,18.276560000000003,High,Low Disclosure
CHENNAI PETROLEUM CORP LTD,0.7053,0.46149999999999997,0.5265,0.2485,0.0,0.0,0.45680000000000004,0.46149999999999997,0.5265,0.31702,0.069225,0.07897500000000002,18.069230000000005,High,Greenwashing Risk
CRAFTSMAN AUTOMATION LTD,0.8149,0.8271,0.8144,0.0,0.0,0.3184,0.8149,0.8271,0.496,0.12223500000000004,0.12406500000000004,0.39280000000000004,18.044355000000003,High,Greenwashing Risk | High Volatility
ADANI ENERGY SOLUTIONS LTD,0.1,0.1,0.1,0.2688,0.0,0.5138,-0.16879999999999998,0.1,-0.41380000000000006,0.20128,0.015000000000000006,0.34828000000000003,18.02832,High,Low Disclosure
DEVYANI INTERNATIONAL LTD,0.7253000000000001,0.8118000000000001,0.7791,0.0,0.0,0.3438,0.7253000000000001,0.8118000000000001,0.4353,0.10879500000000003,0.12177000000000004,0.40909500000000004,17.789225000000005,High,Greenwashing Risk | High Volatility
KALYAN JEWELLERS INDIA LTD,0.1,0.1,0.1,0.4223,0.1739,0.0,-0.32230000000000003,-0.0739,0.1,0.29338,0.14434000000000002,0.015000000000000006,17.75826,High,Low Disclosure
INDIA CEMENTS LTD,0.7861,0.36090000000000005,0.3711,0.0,0.0684,0.4102,0.7861,0.29250000000000004,-0.039100000000000024,0.11791500000000005,0.112275,0.39456,17.532785,High,Greenwashing Risk | High Volatility
ASHOK LEYLAND LTD,0.1,0.1,0.1,0.3858,0.0327,0.2142,-0.28579999999999994,0.0673,-0.1142,0.27147999999999994,0.04279500000000001,0.16852,17.484765,High,Low Disclosure
SOBHA LTD,0.7193999999999999,0.4035,0.6744,0.0,0.0,0.4344,0.7193999999999999,0.4035,0.24,0.10790999999999998,0.06052500000000001,0.4704,17.384315,High,Greenwashing Risk | High Volatility
DABUR INDIA LTD,0.1,0.1,0.1,0.0329,0.0,1.0,0.0671,0.1,-0.9,0.042965,0.015000000000000006,0.64,17.35546,High,High Volatility | Low Disclosure
HINDUSTAN UNILEVER LTD,0.1,0.1,0.1,0.2981,0.0175,0.3808,-0.19809999999999997,0.0825,-0.28080000000000005,0.21886,0.02987500000000001,0.26848000000000005,17.267965,High,Low Disclosure
ASIAN PAINTS LTD,0.1,0.1,0.1,0.2734,0.0638,0.3401,-0.17339999999999997,0.03620000000000001,-0.2401,0.20404,0.06923,0.24406,17.22539,High,Low Disclosure
HEXAWARE TECHNOLOGIES LTD,0.29410000000000003,0.4586,0.7471,0.2433,0.0841,0.0,0.05080000000000004,0.3745,0.7471,0.25092000000000003,0.14027500000000004,0.112065,17.190630000000002,Medium,Greenwashing Risk | High Volatility
BLUE STAR LTD,0.1,0.1,0.1,0.0,0.8524,0.0,0.1,-0.7524000000000001,0.1,0.015000000000000006,0.55144,0.015000000000000006,17.12964,High,High Volatility | Low Disclosure
CAPRI GLOBAL CAPITAL LTD,0.73,0.7111,0.5794,0.0,0.0,0.3674,0.73,0.7111,0.21200000000000002,0.10949999999999999,0.10666499999999998,0.39920000000000005,17.104615000000003,High,Greenwashing Risk | High Volatility
CONCORD BIOTECH LTD,0.7983,0.4277,0.4951,0.0,0.0,0.4225,0.7983,0.4277,0.0726,0.11974500000000005,0.064155,0.43339,17.092335000000006,Medium,Greenwashing Risk | High Volatility
JSW CEMENT LTD,0.8187000000000001,0.5006,0.7757999999999999,0.1984,0.0,0.0,0.6203000000000001,0.5006,0.7757999999999999,0.291445,0.07509000000000002,0.11637,17.060620000000004,High,Greenwashing Risk | High Volatility
BOMBAY BURMAH TRADING CORP,0.3555,0.3025,0.66,0.0,0.0,0.5046,0.3555,0.3025,0.15539999999999998,0.053325,0.045375,0.5279100000000001,16.950675000000004,Medium,No Risk
ASAHI INDIA GLASS LTD,0.1,0.1,0.1,0.5408,0.0005,0.0,-0.44079999999999997,0.0995,0.1,0.3644799999999999,0.015425000000000008,0.015000000000000006,16.890295,High,Low Disclosure
KSB LTD,0.5326,0.3475,0.7731,0.0,0.0,0.414,0.5326,0.3475,0.35910000000000003,0.07989000000000002,0.05212499999999999,0.46786500000000003,16.82766,High,Greenwashing Risk
SUNDARAM FINANCE LTD,0.1,0.1,0.1,0.5359,0.0,0.0,-0.43590000000000007,0.1,0.1,0.36154,0.015000000000000006,0.015000000000000006,16.74776,Medium,Low Disclosure
UNITED BREWERIES LTD,0.1,0.1,0.1,0.278,0.1371,0.1794,-0.17800000000000002,-0.037099999999999994,-0.0794,0.2068,0.12226000000000001,0.14764,16.58026,High,Low Disclosure
POLY MEDICURE LTD,0.7331,0.5685,0.7528,0.0,0.0,0.341,0.7331,0.5685,0.4118,0.10996500000000001,0.08527500000000002,0.4027700000000001,16.551235000000005,High,Greenwashing Risk | High Volatility
AFFLE 3I LTD,0.1,0.1,0.1,0.0,0.7669,0.0,0.1,-0.6669,0.1,0.015000000000000006,0.50014,0.015000000000000006,16.53934,High,Low Disclosure
COHANCE LIFESCIENCES LTD,0.8284,0.5316,0.6036,0.0,0.2745,0.0,0.8284,0.25709999999999994,0.6036,0.12426000000000004,0.31306500000000004,0.09054000000000001,16.435955000000003,Medium,Greenwashing Risk | High Volatility
HOME FIRST FINANCE CO INDIA,0.5563,0.6135,0.7662,0.0,0.0,0.3202,0.5563,0.6135,0.446,0.08344500000000002,0.09202500000000002,0.38710000000000006,16.201855000000005,Medium,Greenwashing Risk
TORRENT POWER LTD,0.1,0.1,0.1,0.0,0.0026,1.0,0.1,0.0974,-0.9,0.015000000000000006,0.017210000000000007,0.64,16.19351,High,High Volatility | Low Disclosure
MANKIND PHARMA LTD,0.1,0.1,0.1,0.0,0.0025,1.0,0.1,0.0975,-0.9,0.015000000000000006,0.01712500000000001,0.64,16.190875,High,High Volatility | Low Disclosure
EICHER MOTORS LTD,0.1,0.1,0.1,0.0,0.0024,1.0,0.1,0.0976,-0.9,0.015000000000000006,0.017040000000000003,0.64,16.18824,High,High Volatility | Low Disclosure
ESCORTS KUBOTA LTD,0.054299999999999994,0.2814,0.2808,0.0,0.0,0.7767,0.054299999999999994,0.2814,-0.49589999999999995,0.008145000000000001,0.04221,0.57834,16.12539,High,No Risk
VEDANT FASHIONS LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,Medium,High Volatility | Low Disclosure
TUBE INVESTMENTS OF INDIA LT,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,Medium,High Volatility | Low Disclosure
ICICI PRUDENTIAL LIFE INSURA,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
BIKAJI FOODS INTERNATIONAL L,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
INTERGLOBE AVIATION LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
RAIL VIKAS NIGAM LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
UNO MINDA LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
ANGEL ONE LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
PB FINTECH LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
DLF LTD,0.1,0.1,0.1,0.0,0.0,1.0,0.1,0.1,-0.9,0.015000000000000006,0.015000000000000006,0.64,16.125,High,High Volatility | Low Disclosure
MAX HEALTHCARE INSTITUTE LTD,0.1,0.1,0.1,0.0,0.3262,0.4762,0.1,-0.22619999999999998,-0.3762,0.015000000000000006,0.23571999999999999,0.32572,16.11032,High,Low Disclosure
DEEPAK NITRITE LTD,0.7545000000000001,0.429,0.6104999999999999,0.001,0.093,0.2488,0.7535000000000001,0.33599999999999997,0.3616999999999999,0.11402500000000004,0.1434,0.30305499999999996,16.038875,High,Greenwashing Risk | High Volatility
APTUS VALUE HOUSING FINANCE,0.34149999999999997,0.3638,0.8227,0.0,0.0,0.4123,0.34149999999999997,0.3638,0.4104,0.05122500000000001,0.05457000000000001,0.47385999999999995,15.792069999999999,Medium,No Risk
NAVIN FLUORINE INTERNATIONAL,0.8059999999999999,0.6922,0.5463,0.0,0.0,0.2843,0.8059999999999999,0.6922,0.262,0.12090000000000004,0.10383,0.3236,15.628330000000002,Medium,Greenwashing Risk | High Volatility
NUVOCO VISTAS CORP LTD,0.7581,0.47700000000000004,0.6128,0.0,0.0,0.3282,0.7581,0.47700000000000004,0.2846,0.11371500000000001,0.07155000000000002,0.37089,15.493760000000002,Medium,Greenwashing Risk | High Volatility
ACME SOLAR HOLDINGS LTD,0.1,0.1,0.1,0.0,0.0,0.9467,0.1,0.1,-0.8467,0.015000000000000006,0.015000000000000006,0.60802,15.325500000000002,High,High Volatility | Low Disclosure
IRCON INTERNATIONAL LTD,0.5616,0.5359,0.5342,0.0,0.0,0.3264,0.5616,0.5359,0.20779999999999998,0.08424000000000001,0.08038500000000001,0.35757,15.137745000000002,Medium,Greenwashing Risk
ELGI EQUIPMENTS LTD,0.5102,0.7119,0.6108,0.0,0.0,0.3318,0.5102,0.7119,0.279,0.07653000000000001,0.10678500000000002,0.37365000000000004,15.018905000000004,Medium,Greenwashing Risk | High Volatility
JBM AUTO LTD,0.5922,0.4941,0.4816,0.0,0.0,0.3165,0.5922,0.4941,0.16509999999999997,0.08882999999999999,0.07411500000000001,0.341265,14.737709999999998,Medium,Greenwashing Risk
LT FOODS LTD,0.7347,0.7059000000000001,0.7295,0.0,0.0,0.2279,0.7347,0.7059000000000001,0.5016,0.11020500000000003,0.10588500000000003,0.30314,14.709955000000003,High,Greenwashing Risk | High Volatility
ADANI GREEN ENERGY LTD,0.1,0.1,0.1,0.3152,0.0,0.2028,-0.21519999999999997,0.1,-0.1028,0.22912,0.015000000000000006,0.16168,14.588279999999997,High,Low Disclosure
BRAINBEES SOLUTIONS LTD,0.7503,0.5306000000000001,0.7489,0.0,0.0,0.2497,0.7503,0.5306000000000001,0.4992,0.112545,0.07959000000000002,0.32458,14.533770000000002,Medium,Greenwashing Risk | High Volatility
VIJAYA DIAGNOSTIC CENTRE PVT,0.6945,0.4722,0.6892,0.0,0.0,0.2344,0.6945,0.4722,0.45480000000000004,0.10417499999999999,0.07083000000000002,0.30262,14.34493,Medium,Greenwashing Risk
VALOR ESTATE LTD,0.7359,0.47259999999999996,0.5395,0.0,0.0,0.2859,0.7359,0.47259999999999996,0.2536,0.11038500000000001,0.07089,0.32394,14.153030000000001,Medium,Greenwashing Risk | High Volatility
BLUE JET HEALTHCARE LTD,0.7331,0.4986,0.7017,0.0,0.1968,0.0,0.7331,0.30179999999999996,0.7017,0.10996500000000001,0.24207000000000004,0.10525499999999999,13.974005000000002,High,Greenwashing Risk | High Volatility
ABBOTT INDIA LTD,0.1,0.1,0.1,0.0,0.619,0.0,0.1,-0.519,0.1,0.015000000000000006,0.4114,0.015000000000000006,13.788400000000001,High,Low Disclosure
ADITYA BIRLA CAPITAL LTD,0.1,0.1,0.1,0.4205,0.0,0.0,-0.3205,0.1,0.1,0.2923,0.015000000000000006,0.015000000000000006,13.701200000000002,High,Low Disclosure
